Name,Korean Name,Gender,Debut,Company,Members,Orig Memb,Active
Wonder Girls,원더걸스,Female,13/02/2007,JYP,4,5,No
woo!ah!,우아,Female,15/05/2020,NV,5,6,Yes
WOW,와우,Male,08/03/2021,A.CONIC,7,7,Yes
X:IN,엑신,Female,11/04/2023,Escrow,5,5,Yes
Xdinary Heroes,엑스디너리 히어로즈,Male,06/12/2021,JYP,6,6,Yes
XEED,씨드,Male,01/12/2022,Nature Space,3,4,Yes
XENEX,제넥스,Male,26/02/2020,GiEok,5,5,Yes
xikers,싸이커스,Male,30/03/2023,KQ,10,10,Yes
XODIAC,소디엑,Male,25/03/2023,One Cool Jacso,9,9,Yes
XUM,썸,Female,22/09/2020,A100,3,3,No
Yellow Bee,옐로비,Female,23/11/2017,Addiction,5,5,No
YOUNITE,유나이트,Male,20/04/2022,Brand New,9,9,Yes
ZE:A,제국의 아이들,Male,07/01/2010,Star Empire,9,9,Hiatus
